new,112884
states,94929
time,93669
used,82613
war,68031
world,66832
years,66628
number,64865
people,62449
use,60712
united,58332
government,58235
state,57323
against,54699
made,53395
th,51757
because,50244
including,49459
called,49362
american,48766
said,48033
union,46662
later,46492
day,44609
well,44452
part,42932
bison,42076
south,42012
national,41796
known,41314
same,39987
public,39846
apple,39146
law,38903
city,38654
several,38323
film,38051
work,37641
became,36811
according,36475
end,36264
court,35770
music,34750
show,34350
life,34251
north,34046
system,33540
army,33336
country,33237
early,33150
century,33048
military,33014
men,32965
began,32845
population,32792
power,32752
found,32487
way,32370
following,32302
like,32235
year,32015
needed,31952
google,31908
using,31900
major,31782
released,31760
high,31370
act,31032
death,30677
biodiesel,30646
battle,30642
general,30419
service,30322
own,30105
europe,29975
federal,29784
information,29551
president,29388
history,29175
album,28773
group,28754
european,28714
april,28634
took,28620
rights,28424
west,28080
large,28065
dna,27903
form,27702
forces,27560
name,27402
september,27367
land,27266
york,27122
case,27103
different,27048
civil,27022
based,27022
blues,26990
support,26811
place,26631
political,26597
march,26179
series,26086
example,25870
great,25785
control,25700
intelligence,25479
human,25290
per,25285
white,25224
due,25139
single,24928
announced,24840
australia,24771
cia,24751
international,24686
flag,24623
gold,24592
led,24504
british,24316
term,24287
june,24209
published,24112
set,24000
october,23996
western,23987
long,23957
countries,23907
house,23872
december,23848
times,23734
black,23663
july,23588
take,23564
left,23376
lte,23324
make,23232
fuel,23135
process,22982
came,22960
john,22870
days,22849
citation,22684
considered,22665
chicago,22624
river,22570
mhz,22540
song,22380
point,22205
bin,22174
confederate,22158
january,22140
november,22133
areas,21886
congress,21810
result,21696
band,21662
slavery,21470
company,21449
right,21414
original,21404
production,21362
reactor,21136
water,21133
family,21114
further,21070
age,21060
language,20857
person,20829
see,20808
final,20799
wrote,20777
become,20747
modern,20604
report,20588
order,20552
period,20512
social,20501
similar,20431
charles,20401
total,20396
southern,20377
force,20362
cholesterol,20290
network,20278
home,20266
program,20182
book,20021
old,19854
given,19819
zero,19610
rate,19557
action,19537
small,19522
points,19501
february,19393
line,19373
reported,19305
included,19270
stated,19227
area,19155
months,19140
knievel,19125
important,19102
main,19092
august,19032
man,18973
free,18914
crime,18789
party,18742
building,18704
team,18581
official,18563
groups,18464
search,18460
local,18410
common,18396
article,17988
services,17939
northern,17759
english,17648
members,17639
individual,17282
plague,17226
whether,17113
received,17032
taken,17030
held,17029
women,16932
produced,16924
popular,16914
easter,16903
late,16888
various,16873
higher,16844
data,16761
version,16721
former,16621
belarus,16566
possible,16556
lead,16549
soldiers,16541
available,16498
record,16473
upon,16472
cornish,16440
center,16429
red,16420
business,16362
largest,16263
release,16184
bill,16183
affiliate,16172
written,16144
head,16080
game,16080
policy,16064
russian,16041
cities,16029
went,15958
created,15948
terms,15945
america,15822
usually,15701
trade,15621
started,15615
role,15609
stage,15608
need,15590
wiggins,15582
cost,15569
cases,15483
killed,15461
university,15445
research,15444
special,15442
radio,15417
school,15381
making,15371
date,15216
children,15206
security,15161
central,15093
especially,15084
died,15067
office,15048
police,15042
lincoln,15021
low,14969
despite,14944
copyright,14935
nations,14820
laden,14810
france,14805
issue,14793
caused,14735
continued,14728
levels,14659
provided,14654
across,14630
french,14552
cause,14543
air,14539
addition,14525
good,14446
won,14329
parts,14320
earth,14320
california,14314
james,14298
media,14247
tour,14157
video,14144
evidence,14059
natural,14052
able,13982
member,13940
goldman,13932
title,13926
species,13921
best,13890
texas,13870
live,13864
top,13860
cattle,13795
oil,13785
established,13781
code,13759
vote,13745
throughout,13732
lower,13713
little,13704
indian,13703
de,13659
certain,13615
legal,13610
sent,13586
attack,13570
darwin,13452
gave,13449
fire,13419
model,13403
claimed,13391
beginning,13385
come,13376
troops,13345
lost,13316
defamation,13305
word,13271
instead,13253
agency,13223
generally,13222
words,13202
study,13153
moved,13120
accident,13049
followed,13028
health,13017
go,12961
level,12951
story,12941
present,12939
means,12902
individuals,12876
attacks,12851
behind,12818
claims,12813
include,12801
trial,12792
least,12774
territory,12767
development,12750
material,12727
east,12689
george,12675
required,12667
systems,12627
base,12623
failed,12602
view,12581
uk,12560
technology,12545
open,12543
laws,12510
working,12492
russia,12477
short,12423
ended,12403
body,12391
statement,12391
eu,12343
half,12342
field,12329
songs,12311
position,12302
side,12301
fact,12279
buffalo,12270
originally,12267
away,12264
press,12262
eastern,12224
race,12221
described,12184
hand,12182
passed,12166
council,12158
bands,12155
commission,12152
freedom,12127
aphasia,12093
change,12086
chernobyl,12075
increased,12074
christian,12074
colombia,12046
energy,12032
named,12029
run,12018
km,12011
movement,11977
victory,11960
thought,11951
marketing,11950
constitution,11937
reached,11928
brought,11914
young,11911
range,11911
involved,11850
committee,11837
associated,11821
mobile,11775
leading,11771
forms,11764
significant,11723
washington,11723
added,11723
eventually,11680
section,11671
together,11667
soviet,11638
shows,11638
defense,11628
approximately,11620
food,11609
design,11601
allowed,11565
shown,11563
provide,11518
played,11497
referred,11467
current,11449
developed,11427
seen,11424
campaign,11420
independent,11415
middle,11406
religious,11385
society,11381
future,11380
apples,11378
foreign,11375
attempt,11373
results,11362
works,11343
decision,11342
william,11331
plan,11330
event,11261
recorded,11248
spread,11230
launched,11216
style,11184
believed,11146
saw,11123
particularly,11115
performance,11099
effect,11043
decided,11031
writing,11025
put,11018
analysis,11000
radiation,10987
gen,10958
officials,10958
king,10948
related,10929
source,10925
georgia,10917
specific,10906
prior,10886
increase,10878
community,10864
amount,10857
rock,10836
companies,10826
real,10823
told,10818
damage,10796
outside,10788
blade,10787
positive,10766
investigation,10763
want,10749
produce,10746
give,10736
arab,10728
rates,10721
raid,10719
likely,10718
commercial,10701
remained,10690
confederacy,10665
average,10647
chief,10641
events,10628
find,10625
play,10623
face,10588
economic,10588
meaning,10575
users,10573
earlier,10572
personal,10569
slaves,10568
church,10560
collapse,10556
returned,10544
territories,10511
private,10507
capital,10501
saying,10498
site,10453
director,10434
problem,10431
division,10429
films,10422
structure,10391
return,10366
issues,10344
introduced,10342
directly,10312
paige,10282
department,10278
diesel,10241
disease,10235
full,10209
know,10207
love,10204
standard,10146
england,10146
st,10108
fall,10101
roman,10101
conditions,10083
amendment,10079
australian,10065
historians,10050
protection,10046
internet,10037
americans,10032
nuclear,10005
computer,9999
limited,9975
past,9949
sources,9917
frontier,9912
website,9910
road,9869
subject,9860
lemay,9856
industry,9854
runner,9829
numbers,9804
formed,9802
true,9789
seconds,9784
germany,9784
studies,9753
attila,9735
additional,9725
china,9723
content,9721
records,9720
test,9702
nature,9689
activities,9680
week,9670
traditional,9664
estimated,9662
think,9656
ground,9655
virginia,9646
market,9637
move,9632
conscription,9627
games,9616
elements,9590
entire,9568
noted,9556
region,9545
britain,9536
question,9533
fathers,9490
look,9466
father,9457
scott,9421
taking,9406
negative,9389
successful,9384
going,9376
core,9369
success,9367
numerous,9366
ordered,9356
performed,9354
reali,9352
property,9345
account,9342
sold,9324
overall,9315
operation,9309
blue,9304
criminal,9303
access,9288
robert,9285
previous,9245
turned,9228
better,9188
things,9172
speech,9165
agreed,9162
minutes,9159
fighting,9147
opposition,9138
lack,9133
theory,9128
majority,9113
settlement,9101
emo,9078
violence,9051
idea,9041
suggested,9034
radioactive,9030
appeared,9020
kingdom,9015
mexico,9012
israeli,9001
resulting,8987
products,8983
canada,8970
close,8936
fort,8933
finally,8929
appears,8924
protests,8913
response,8886
operations,8881
highest,8870
israel,8863
medical,8859
growth,8829
sites,8828
help,8819
allow,8814
dont,8811
built,8786
money,8786
empire,8785
jackson,8774
longer,8772
spring,8770
strong,8764
election,8758
authority,8745
class,8743
tours,8731
plant,8728
libel,8715
joined,8711
lines,8711
recent,8710
actually,8707
start,8706
win,8701
claim,8694
languages,8680
reports,8661
met,8657
science,8645
effects,8643
square,8641
asked,8639
necessary,8638
value,8633
greater,8631
workers,8631
cut,8630
proposed,8629
argued,8619
quickly,8614
previously,8604
education,8596
books,8590
cannot,8575
ones,8562
say,8559
front,8556
impact,8554
ii,8541
closure,8534
governments,8533
changed,8525
smith,8524
divided,8513
training,8512
officers,8502
citizens,8491
living,8475
art,8459
advertising,8450
supported,8450
occurred,8447
regarding,8446
london,8439
weeks,8437
method,8422
draft,8420
slave,8418
belarusian,8417
project,8414
persons,8397
republic,8394
fine,8394
district,8388
halo,8384
border,8378
light,8376
actions,8373
becoming,8372
arms,8353
particular,8353
says,8340
identified,8327
san,8320
intended,8318
physical,8315
knowledge,8306
crimes,8304
television,8303
heavy,8299
deaths,8287
showed,8274
uses,8267
track,8266
matter,8260
hit,8253
regions,8249
influence,8213
multiple,8211
prison,8211
break,8206
henry,8186
latin,8177
primary,8172
convention,8167
contains,8162
practice,8154
sunday,8127
changes,8119
gas,8105
island,8105
native,8096
tower,8095
whole,8086
episode,8082
voting,8078
retrieved,8071
park,8065
mother,8061
animals,8056
pay,8042
situation,8032
board,8022
poor,8000
initially,7998
economy,7998
ability,7993
loss,7990
typically,7989
supreme,7978
genocide,7967
corps,7953
fight,7939
shot,7939
wanted,7939
thousands,7936
male,7915
dates,7907
republican,7905
silver,7899
located,7893
currently,7874
staff,7866
avoid,7863
german,7857
completed,7849
via,7840
compound,7810
mainwaring,7810
adopted,7805
summer,7797
culture,7794
difficult,7784
privacy,7780
lee,7780
hard,7756
separate,7756
defined,7748
entered,7743
indians,7728
key,7725
brain,7725
highly,7722
worked,7719
paid,7701
filed,7683
product,7675
direct,7663
rules,7663
complete,7634
jump,7630
son,7599
plains,7598
create,7590
news,7579
letter,7579
appear,7576
barlow,7571
sequence,7565
advanced,7558
expected,7551
existence,7542
presented,7536
opposed,7534
carried,7532
ferraro,7526
widely,7522
replaced,7521
umayyad,7520
interest,7519
spanish,7517
includes,7511
giving,7506
ie,7505
determined,7497
born,7485
commonly,7480
equal,7479
spectrum,7477
image,7472
problems,7469
fought,7456
domestic,7456
tribes,7437
publication,7434
clear,7431
false,7414
courts,7382
historian,7376
helped,7376
googles,7352
hold,7347
opinion,7344
reason,7342
percent,7337
prevent,7332
takes,7332
features,7330
senate,7330
murder,7316
command,7315
miles,7310
female,7309
makes,7297
historical,7293
battles,7288
david,7284
experience,7280
night,7273
initial,7263
reach,7263
chinese,7259
huns,7251
forced,7247
influenced,7237
remaining,7230
designed,7219
page,7207
dead,7204
buildings,7203
serious,7197
sea,7184
critics,7178
methods,7178
armed,7168
armies,7164
web,7160
floor,7160
treatment,7158
reasons,7153
railroad,7149
edition,7148
issued,7146
town,7146
scientific,7140
featured,7138
camping,7131
offer,7127
continue,7117
ad,7116
inside,7114
attention,7113
standards,7099
acts,7099
immediately,7095
networks,7093
remains,7079
behavior,7077
career,7067
character,7066
primarily,7064
professor,7062
parties,7058
urban,7024
ruled,7021
nation,7009
cultural,7000
god,6989
alternative,6979
require,6973
religion,6970
larger,6969
type,6967
determine,6958
organizations,6948
sales,6946
cross,6939
mississippi,6935
et,6931
starting,6920
wars,6919
basis,6916
mostly,6906
sign,6900
financial,6899
victims,6895
democratic,6882
notes,6879
provides,6872
steam,6871
activists,6861
hours,6861
meeting,6856
price,6850
rest,6843
protect,6842
genetic,6842
star,6840
sense,6840
secession,6833
construction,6829
call,6825
wife,6815
rejected,6815
worlds,6813
lands,6811
ladens,6807
revealed,6805
defeat,6804
towns,6801
herds,6795
affected,6788
emergency,6785
expansion,6777
turn,6772
believe,6765
providing,6757
programs,6755
professional,6755
creation,6746
immigrants,6742
origin,6721
declared,6721
responsible,6718
probably,6717
mark,6705
month,6693
share,6685
factors,6684
arrived,6684
ship,6675
sound,6672
spent,6671
degree,6668
feature,6664
pacific,6663
albums,6662
actual,6661
pakistan,6656
paper,6655
burnside,6640
attempted,6620
invasion,6616
dating,6615
leaving,6612
colombian,6610
schools,6606
lives,6604
pressure,6600
patent,6589
suffered,6588
ford,6579
missouri,6572
effort,6562
organization,6561
greek,6554
simply,6544
removed,6544
review,6542
sex,6541
complex,6536
status,6534
officer,6534
cancer,6522
efforts,6515
confirmed,6509
violent,6507
estimates,6506
trying,6503
agreement,6502
types,6498
generation,6497
raised,6494
concept,6477
zone,6476
recently,6468
opened,6468
thing,6465
students,6464
resulted,6463
prime,6462
hill,6452
presidential,6447
upper,6444
literature,6441
size,6433
context,6426
criticized,6422
leaders,6419
michael,6419
season,6417
defeated,6412
famous,6407
magazine,6407
franks,6405
articles,6404
failure,6400
floors,6391
figures,6386
louboutin,6384
expressed,6381
emancipation,6380
mass,6376
served,6375
largely,6365
occur,6356
fell,6353
blood,6352
planned,6349
signed,6335
wide,6322
post,6317
minister,6308
daily,6299
edward,6288
paul,6281
woman,6279
mbit/s,6272
attempts,6270
subsequently,6266
grant,6263
judge,6263
alleged,6243
applied,6236
function,6232
definition,6223
coping,6222
ldl,6210
software,6208
rule,6207
toward,6201
chart,6200
india,6197
course,6194
debate,6189
movie,6184
safety,6180
panelists,6179
names,6167
accounts,6163
leave,6162
kind,6160
factor,6157
interview,6156
males,6154
questions,6150
contract,6148
causes,6147
scene,6135
affiliates,6134
placed,6131
kept,6124
growing,6123
chicks,6120
italy,6120
smaller,6115
communication,6105
showing,6105
techniques,6103
global,6101
relationship,6096
materials,6095
big,6082
association,6071
disaster,6071
combat,6068
formation,6053
mi,6048
grand,6041
centuries,6041
animal,6029
felt,6028
richard,6027
commander,6026
muslim,6025
cell,6024
treaty,6021
woody,6012
basic,5990
existing,5975
stop,5968
authorities,5959
condition,5957
guitar,5951
killing,5947
online,5940
subsequent,5927
green,5925
era,5921
settlers,5918
moving,5917
dwarfism,5917
prepared,5917
committed,5911
meet,5904
merchants,5903
electric,5897
african,5896
horn,5892
keep,5892
normal,5891
competition,5891
broke,5888
pm,5886
conducted,5885
cover,5879
evolution,5879
finished,5873
brigade,5859
showdown,5856
contents,5852
darwins,5850
opportunity,5843
regular,5828
combined,5826
kansas,5825
justice,5809
refers,5807
refused,5805
significantly,5804
street,5803
turkish,5802
brig,5796
africa,5794
alone,5793
space,5791
reduced,5786
portion,5783
costs,5779
represented,5778
statements,5769
approach,5767
aspect,5765
engine,5764
executive,5754
onto,5754
activity,5752
journal,5750
host,5748
ideas,5747
internal,5743
spain,5741
forward,5740
secret,5740
arrested,5726
wall,5724
potential,5724
denied,5723
user,5722
towers,5718
drive,5715
eg,5713
double,5706
peace,5703
tried,5701
compared,5697
hot,5694
dark,5688
critical,5687
quality,5680
panelist,5678
stories,5667
leader,5658
contained,5652
patients,5642
phrase,5639
expression,5639
increasing,5626
coming,5620
machine,5613
trademark,5607
communications,5606
list,5580
older,5579
mission,5577
selection,5574
celebrated,5567
favor,5566
discovered,5556
calendar,5556
regarded,5551
store,5551
text,5547
sought,5546
appeal,5546
elected,5545
focused,5536
speed,5536
offered,5536
wilson,5530
medieval,5529
station,5529
lowest,5519
accepted,5518
remain,5503
places,5499
weapons,5497
importance,5495
aid,5492
thomas,5491
constitutional,5490
specifically,5481
stating,5477
copies,5472
responded,5472
ships,5460
variety,5458
worldwide,5454
families,5453
humans,5452
islamic,5449
unknown,5448
motion,5439
brother,5435
frequently,5426
lovecraft,5418
really,5412
unlike,5398
recognized,5394
mountains,5389
requirements,5386
egypt,5384
college,5381
reputation,5377
peoples,5376
blockade,5374
sexual,5373
residents,5367
attacked,5366
care,5362
youtube,5361
join,5357
mining,5354
annual,5350
al-qaeda,5348
farmers,5347
shortly,5340
charge,5338
gained,5330
scale,5328
otherwise,5315
birth,5311
finding,5310
digital,5306
proved,5305
judgment,5295
settled,5289
casualties,5285
simple,5272
novel,5260
covered,5257
ft,5255
organized,5255
identity,5249
focus,5233
artists,5232
domain,5229
zealand,5226
background,5223
criticism,5221
achieved,5207
values,5202
appearance,5196
wounded,5196
perceived,5192
helicopter,5191
frequency,5186
stars,5185
estimate,5184
tradition,5183
fundamental,5180
audience,5168
writers,5166
documents,5161
im,5159
plans,5152
cold,5151
read,5151
discovery,5140
governor,5139
environment,5133
channel,5133
elections,5132
lawsuit,5131
suit,5130
management,5127
feet,5122
martel,5120
legislation,5120
administration,5120
navy,5117
japanese,5116
artillery,5115
advance,5114
discrimination,5105
notably,5101
launch,5096
exposure,5087
concluded,5083
goods,5077
independence,5075
davis,5073
regional,5072
introduction,5069
extended,5060
ireland,5060
newspaper,5058
rivers,5051
proclamation,5049
purpose,5047
sports,5042
seals,5034
causing,5032
considerable,5028
enforcement,5021
grew,5011
location,5002
entirely,4995
deal,4990
studio,4989
concerns,4987
wales,4987
recording,4983
comes,4970
effective,4969
jones,4968
frankish,4965
differences,4961
address,4960
controversy,4954
opening,4951
powers,4951
bring,4948
titled,4945
slightly,4944
valley,4943
fires,4941
agencies,4939
demand,4938
al,4937
contrast,4931
note,4927
revolution,4926
environmental,4909
reserve,4906
decay,4905
coast,4901
herd,4898
pakistani,4894
object,4893
contain,4887
strategies,4874
vice,4873
interests,4872
needs,4870
sell,4868
perhaps,4866
deckard,4864
units,4862
symbol,4862
destroyed,4852
artist,4847
officially,4847
exist,4844
continues,4840
risk,4835
wtc,4828
strategy,4823
drug,4814
politkovskaya,4814
georgian,4806
explosion,4806
heard,4800
reference,4799
possibly,4796
scholars,4790
establishment,4784
inc,4775
die,4774
worth,4774
holiday,4765
fully,4760
collected,4760
cells,4759
rapture,4752
presence,4749
calls,4747
farm,4746
festival,4743
