people,138115
like,125199
--,120011
dont,107276
because,87481
think,86568
way,69544
time,67739
im,67588
know,64041
say,61451
make,55469
good,54108
see,53261
really,51600
well,51042
years,50664
want,48614
public,46747
things,46643
school,46163
going,45587
new,45452
world,42900
right,42542
need,42478
take,42120
work,41840
same,41506
go,40431
thats,39880
better,39317
thing,38787
government,37367
cant,37248
money,36806
said,35275
system,35187
own,34923
american,34662
actually,32161
doesnt,31494
country,31432
best,30644
women,30586
made,30522
fact,30003
private,29715
life,29565
english,29431
youre,28856
use,28474
americans,28359
point,28283
lot,27704
real,27247
men,26463
love,26341
find,26250
education,26078
schools,25720
little,25675
believe,25664
year,25472
problem,24767
party,24739
against,24736
agree,24678
come,24559
long,24277
words,24275
british,23770
wrong,23659
great,23254
look,23072
mean,22958
obama,22916
day,22720
ive,22660
different,22566
isnt,22459
part,22448
change,22415
children,22024
sure,21995
feel,21995
theres,21919
political,21915
didnt,21809
america,21793
person,21706
put,21278
least,21025
kids,20943
bad,20767
saying,20550
support,20541
article,19960
word,19924
give,19909
end,19899
seems,19897
probably,19616
comments,19513
media,19359
job,19072
vote,18868
thought,18807
course,18691
case,18652
live,18309
language,18244
market,18244
man,18238
old,18163
keep,18151
social,18147
given,17917
anyone,17864
state,17810
free,17785
making,17757
simply,17753
bit,17716
high,17595
matter,17580
care,17198
used,17172
read,17058
future,16886
understand,16834
business,16793
place,16699
parents,16630
help,16559
whether,16306
away,16071
debate,16060
financial,16004
pretty,15974
etc,15959
makes,15843
hard,15821
home,15807
jobs,15796
economy,15721
times,15695
workers,15612
power,15517
trying,15496
theyre,15444
white,15441
pay,15421
important,15394
says,15298
true,15286
economic,15281
reason,15226
kind,15223
policy,15124
perhaps,15051
means,15049
game,15013
likely,14989
call,14951
question,14884
stop,14843
war,14811
ones,14776
seen,14691
choice,14613
family,14504
issue,14354
needs,14333
name,14328
talk,14318
left,14304
tv,14281
example,14273
post,14231
let,14202
states,14117
brits,14032
tell,14032
turkey,14026
quebec,13979
especially,13922
went,13834
big,13828
french,13823
working,13730
countries,13565
comes,13519
growth,13416
become,13355
law,13325
maybe,13250
society,13190
number,13167
email,12981
side,12969
seem,12929
comment,12782
speak,12774
bill,12767
england,12624
show,12539
argument,12530
able,12515
try,12472
id,12456
week,12456
instead,12437
house,12431
young,12398
age,12374
uk,12338
problems,12257
past,12251
sense,12250
called,12230
news,12215
whole,12186
child,12175
start,12122
idea,12085
thinking,12006
run,11942
rights,11906
rest,11903
history,11874
students,11829
top,11803
university,11747
canada,11740
control,11729
culture,11702
days,11690
based,11656
possible,11628
woman,11604
leave,11461
romney,11444
hes,11443
happen,11407
issues,11329
mind,11324
election,11287
list,11283
liberal,11251
hope,11236
human,11227
please,11136
labour,11128
using,11016
line,11010
ask,11009
water,11005
act,10980
set,10934
arent,10886
experience,10772
full,10743
wont,10686
britain,10622
terms,10597
football,10581
food,10520
position,10429
hate,10390
longer,10380
consider,10341
city,10341
industry,10308
came,10298
large,10272
health,10265
sort,10264
small,10261
worse,10230
class,10200
mining,10197
value,10172
looking,10122
sorry,10056
story,10006
lets,9997
move,9990
result,9970
found,9958
debt,9946
told,9923
president,9917
clear,9857
national,9814
capitalism,9775
level,9724
wouldnt,9715
community,9715
foreign,9653
ill,9650
black,9618
order,9573
share,9552
book,9550
films,9532
mental,9507
expect,9457
wanted,9455
form,9441
hold,9430
living,9412
nice,9395
term,9382
remember,9378
trudeau,9362
including,9361
across,9358
oh,9309
fear,9301
buy,9256
risk,9184
common,9166
opinion,9158
cause,9157
hand,9146
leader,9140
governments,9130
monetary,9073
interesting,9065
rape,9029
service,9021
open,8986
resources,8950
general,8940
play,8915
exactly,8904
talking,8889
twitter,8870
cannot,8851
rules,8801
behind,8769
average,8759
response,8758
differences,8734
policies,8729
john,8714
win,8700
personal,8691
information,8682
whatever,8651
outside,8651
major,8638
whats,8635
due,8624
stupid,8612
friends,8585
action,8521
club,8515
illegal,8510
chance,8490
clearly,8484
stuff,8456
took,8448
short,8438
hear,8425
united,8422
tax,8420
view,8390
blame,8345
started,8342
continue,8340
spending,8335
justin,8331
funny,8325
deal,8320
sound,8280
politics,8274
paid,8260
doubt,8242
certainly,8232
company,8206
coming,8164
completely,8119
ideas,8116
local,8094
answer,8075
fiscal,8068
send,8066
gone,8055
claim,8051
blog,8050
accent,8049
lack,8044
together,8020
youve,8013
seriously,7995
interest,7979
follow,7966
key,7964
lives,7947
single,7942
alone,7929
half,7905
further,7888
bring,7877
indeed,7811
heard,7810
guy,7800
al,7796
higher,7740
taken,7731
current,7726
goes,7716
group,7670
office,7668
easy,7644
film,7595
recent,7588
david,7587
percent,7567
similar,7511
thanks,7493
takes,7480
rate,7473
minister,7456
respect,7453
recently,7443
europe,7428
god,7425
piece,7404
middle,7403
reasons,7399
several,7389
immigration,7367
strong,7356
markets,7354
spend,7348
poor,7346
taking,7319
guess,7318
companies,7285
provide,7275
watch,7271
teachers,7266
pronounce,7265
points,7241
population,7239
willing,7231
despite,7228
according,7218
laws,7203
turn,7201
head,7196
majority,7186
lead,7167
conservative,7166
process,7109
face,7094
situation,7054
add,7052
male,7039
increase,6979
ways,6947
misogynist,6945
worth,6939
politicians,6939
nation,6938
particular,6926
th,6917
learn,6913
definitely,6894
moment,6885
energy,6883
euro,6862
stand,6859
particularly,6829
totally,6824
asked,6813
numbers,6813
otherwise,6781
write,6779
liberals,6766
difficult,6743
supposed,6719
rich,6714
independent,6698
shows,6683
proud,6676
ability,6663
union,6659
couldnt,6648
available,6631
wasnt,6626
spelling,6609
internet,6599
per,6590
conversation,6585
changed,6584
lost,6583
choose,6569
anyway,6569
worst,6568
rates,6567
reading,6566
team,6512
fall,6481
actual,6468
training,6465
fight,6462
months,6444
shouldnt,6439
happy,6430
global,6407
income,6406
youll,6404
wish,6386
enjoy,6374
arguments,6374
store,6365
absolutely,6351
giving,6307
entire,6307
religious,6303
app,6279
crisis,6254
huge,6248
check,6242
note,6236
havent,6223
wants,6215
saw,6193
room,6192
wrote,6175
known,6168
thank,6158
address,6138
evidence,6130
weve,6122
australia,6110
knew,6103
stay,6092
simple,6082
accept,6081
central,6081
needed,6079
serious,6076
bin,6074
friend,6038
federal,6024
night,6019
correct,6017
difference,6016
option,5989
dollars,5982
decided,5981
author,5967
patriotism,5964
paying,5961
voted,5961
banks,5959
modern,5949
area,5949
religion,5915
primary,5913
weeks,5911
bank,5903
voting,5902
science,5900
individual,5893
apple,5888
members,5860
theory,5852
certain,5851
fun,5845
security,5839
create,5828
sector,5827
european,5827
values,5806
obviously,5803
earth,5798
early,5797
finally,5797
lose,5796
games,5794
credit,5791
necessary,5789
happens,5750
later,5749
currently,5747
born,5745
opposition,5735
subject,5720
role,5719
pension,5715
skills,5707
greater,5698
playing,5698
status,5695
south,5695
amount,5689
success,5662
legal,5657
upon,5650
series,5648
hell,5646
writing,5645
natural,5634
wealth,5615
decision,5606
democrats,5605
student,5601
won,5599
investment,5576
york,5575
lower,5574
currency,5555
hit,5534
decades,5529
brought,5529
questions,5528
allowed,5525
close,5525
wonder,5514
usually,5499
services,5497
forward,5489
guys,5473
looks,5471
benefit,5434
design,5427
worked,5426
positive,5424
books,5423
highly,5422
mr,5420
happened,5415
access,5406
seeing,5403
australian,5398
shit,5397
leaders,5396
trade,5392
discussion,5389
campaign,5382
telling,5381
trust,5378
attitude,5378
attention,5376
players,5364
demand,5340
mostly,5337
works,5331
degree,5322
republicans,5320
original,5319
taxes,5315
citizens,5310
safe,5307
exchange,5307
price,5304
freedom,5293
capital,5292
prime,5289
assume,5287
fine,5280
couple,5276
putting,5249
rule,5245
shearer,5244
month,5237
mention,5225
reality,5224
solution,5216
vs,5215
cost,5206
deficit,5179
message,5172
meant,5165
democracy,5164
following,5161
thinks,5155
forced,5145
report,5142
families,5138
challenge,5138
apparently,5129
low,5117
annoying,5102
career,5100
video,5084
benefits,5080
behaviour,5076
possibly,5066
spent,5062
avoid,5041
heart,5034
