Register, 1st Pronouns, 2nd Pronouns, 3rd Pronouns,,Average,1st,2nd,3rd
HI,10.26392962,48.38709677,0,,HI,5252.883553,8977.539006,2071.374124
HI,7.694314032,13.95409494,5.607720396,,ID,18728.65358,23146.43241,9228.903219
HI,652.173913,1228.26087,478.2608696,,IN,14399.67009,13377.3081,11803.81916
HI,36.03294441,62.11393274,25.73781743,,IP,38481.97968,32937.14794,42335.89159
HI,142.0911528,281.5013405,108.5790885,,LY,84970.18055,70425.72936,78637.58319
HI,56.65204678,93.20175439,40.57017544,,NA,54886.40112,42869.63539,47427.66761
HI,417.4311927,614.6788991,261.4678899,,OP,52595.19948,37262.50321,42838.07703
HI,307.4324324,503.3783784,194.2567568,,SP,44860.17917,28868.16707,32006.12271
HI,808.8888889,1364.444444,511.1111111,,,,,
HI,879.2270531,1487.922705,565.2173913,,,,,
HI,1378.787879,2386.363636,893.9393939,,,,,
HI,222.4852071,408.2840237,142.0118343,,,,,
HI,1417.910448,2641.791045,910.4477612,,,,,
HI,123.8437821,207.0914697,70.4008222,,,,,
HI,1294.736842,2147.368421,726.3157895,,,,,
HI,251.9607843,423.5294118,136.2745098,,,,,
HI,548.3193277,928.5714286,292.0168067,,,,,
HI,1224.299065,2102.803738,654.2056075,,,,,
HI,168.2668014,261.243052,72.76402223,,,,,
HI,714.8760331,1099.173554,311.9834711,,,,,
HI,873.7373737,1396.464646,383.8383838,,,,,
HI,651.5426497,1058.076225,281.3067151,,,,,
HI,462.5935162,759.3516209,198.2543641,,,,,
HI,723.4042553,1259.187621,309.4777563,,,,,
HI,317.5675676,603.8851351,151.1824324,,,,,
HI,1075.630252,2019.607843,504.2016807,,,,,
HI,289.3772894,597.0695971,173.6263736,,,,,
HI,117.388437,211.4750495,54.7373049,,,,,
HI,887.6033058,1666.115702,419.8347107,,,,,
HI,1459.677419,2717.741935,685.483871,,,,,
HI,151.0048886,329.1689299,83.10700706,,,,,
HI,377.6271186,868.4745763,223.0508475,,,,,
HI,1285.714286,2979.262673,762.6728111,,,,,
HI,4043.478261,9391.304348,2398.550725,,,,,
HI,832.8358209,1935.820896,505.9701493,,,,,
HI,609.7826087,1446.73913,391.3043478,,,,,
HI,754.3624161,1856.375839,497.9865772,,,,,
HI,1315.420561,3250,869.1588785,,,,,
HI,185.1364683,535.6790529,129.8914831,,,,,
HI,1156.057495,3347.022587,815.1950719,,,,,
HI,74.63414634,107.5880759,33.33333333,,,,,
HI,8512.345679,12283.95062,3796.296296,,,,,
HI,2930.526316,4202.105263,1294.736842,,,,,
HI,2276.972625,3246.376812,991.9484702,,,,,
HI,1460.381143,2051.15346,621.8655968,,,,,
HI,3880.636605,5490.71618,1644.562334,,,,,
HI,4532.50774,6504.643963,1919.504644,,,,,
HI,4194.842407,6063.037249,1776.504298,,,,,
HI,2126.086957,3098.550725,898.5507246,,,,,
HI,3704.545455,5424.242424,1565.656566,,,,,
HI,288.6889888,378.1442612,106.7799434,,,,,
HI,10924.5283,14301.88679,4037.735849,,,,,
HI,3079.365079,4040.564374,1135.802469,,,,,
HI,7493.562232,9858.369099,2763.948498,,,,,
HI,1419.56346,1902.991108,531.1236863,,,,,
HI,7382.352941,10004.20168,2760.504202,,,,,
HI,3701.052632,5031.578947,1383.157895,,,,,
HI,5263.473054,7209.580838,1970.05988,,,,,
HI,4519.280206,6239.07455,1701.799486,,,,,
HI,1735.700197,2428.994083,653.8461538,,,,,
HI,10358.82353,14535.29412,3905.882353,,,,,
HI,4338.235294,6068.627451,1637.254902,,,,,
HI,10411.76471,14611.76471,3929.411765,,,,,
HI,2184.501845,3066.420664,825.3382534,,,,,
HI,4795.148248,6727.762803,1808.625337,,,,,
HI,14346.77419,20129.03226,5411.290323,,,,,
HI,2743.865031,3860.429448,1036.809816,,,,,
HI,578.7723012,782.582401,209.5554884,,,,,
HI,3206.666667,4355,1155,,,,,
HI,8551.111111,11622.22222,3080,,,,,
HI,1324.029952,1807.35194,473.1109598,,,,,
HI,2738.095238,3729.691877,973.3893557,,,,,
HI,7161.172161,9769.230769,2545.787546,,,,,
HI,3431.064572,4670.157068,1212.914485,,,,,
HI,20914.89362,28489.3617,7393.617021,,,,,
HI,2425.245098,3363.970588,852.9411765,,,,,
HI,2194.905869,3119.601329,779.6234773,,,,,
HI,10010.10101,14272.72727,3555.555556,,,,,
HI,9528.846154,13600.96154,3394.230769,,,,,
HI,3270.181219,4734.76112,1168.039539,,,,,
HI,2639.257294,3823.607427,957.5596817,,,,,
HI,6300.632911,9208.860759,2284.810127,,,,,
HI,4088.114754,6026.639344,1526.639344,,,,,
HI,3429.553265,5128.865979,1293.814433,,,,,
HI,513.5619243,776.3561924,197.0317298,,,,,
HI,343.3503836,511.668798,129.7953964,,,,,
HI,3607.023411,5389.632107,1359.531773,,,,,
HI,3584.158416,5331.683168,1343.234323,,,,,
HI,1202.650469,1853.119823,455.5494202,,,,,
HI,5379.310345,8275.862069,2032.019704,,,,,
HI,11321.24352,17487.04663,4274.611399,,,,,
HI,2235.173824,3496.932515,849.6932515,,,,,
HI,2855.280313,4483.702738,1089.960887,,,,,
HI,16976.74419,26689.92248,6496.124031,,,,,
HI,6466.076696,10191.74041,2471.976401,,,,,
HI,2243.877551,3554.081633,856.122449,,,,,
HI,5339.805825,8512.135922,2048.543689,,,,,
HI,4324.165029,6911.591356,1660.117878,,,,,
HI,2837.595908,4506.393862,1090.792839,,,,,
HI,2329.842932,3756.020942,895.2879581,,,,,
HI,559.4071841,948.5054007,224.5666918,,,,,
HI,16382.35294,27794.11765,6595.588235,,,,,
HI,2141.074856,3648.752399,862.7639155,,,,,
HI,1403.225806,2387.717122,565.7568238,,,,,
HI,3611.111111,6142.857143,1473.015873,,,,,
HI,10618.60465,18060.46512,4320.930233,,,,,
HI,16955.55556,28770.37037,6888.888889,,,,,
HI,304.1676533,492.3040493,114.7288657,,,,,
HI,7623.145401,12353.11573,2875.37092,,,,,
HI,2819.078947,4650.219298,1065.789474,,,,,
HI,15587.87879,25715.15152,5903.030303,,,,,
HI,26020.20202,42868.68687,9838.383838,,,,,
HI,10345.38153,17100.40161,3911.646586,,,,,
HI,1602.237415,2700.435053,608.4524549,,,,,
HI,2077.901431,3531.796502,782.1939587,,,,,
HI,16459.1195,27974.84277,6188.679245,,,,,
HI,4250.803859,7163.987138,1583.601286,,,,,
HI,6894.056848,11532.29974,2550.387597,,,,,
HI,4895.412844,8236.697248,1811.009174,,,,,
HI,3488.888889,5943.79085,1290.196078,,,,,
HI,6772.727273,11570.70707,2494.949495,,,,,
HI,780.9905525,1326.36702,287.4320069,,,,,
HI,1576.280944,2723.661485,580.8865861,,,,,
HI,3447.236181,5983.668342,1277.638191,,,,,
HI,6140.939597,10682.32662,2275.167785,,,,,
HI,3373.626374,5876.678877,1245.421245,,,,,
HI,2364.795918,4119.047619,872.4489796,,,,,
HI,900.4438808,1551.997464,331.6423589,,,,,
HI,2389.588581,4149.45424,885.8102435,,,,,
HI,5694,9932,2114,,,,,
HI,12012.65823,21000,4459.915612,,,,,
HI,13820.38835,24160.19417,5131.067961,,,,,
HI,12653.33333,22186.66667,4697.777778,,,,,
HI,2742.774566,4859.344894,1021.194605,,,,,
HI,4545.454545,8084.529506,1693.779904,,,,,
HI,7916.666667,14086.11111,2950,,,,,
HI,5503.861004,9816.602317,2052.123552,,,,,
HI,3760.416667,6630.208333,1388.020833,,,,,
HI,3492.140266,6194.679565,1293.833132,,,,,
HI,3845.539281,6889.480692,1428.761651,,,,,
HI,10980.98859,19726.23574,4083.65019,,,,,
HI,3024.896266,5414.937759,1115.145228,,,,,
HI,5503.773585,9888.679245,2035.849057,,,,,
HI,2307.99373,4125.39185,847.1786834,,,,,
HI,3476.580796,6177.985948,1269.320843,,,,,
HI,3397.025172,6089.244851,1258.581236,,,,,
HI,39065.78947,70065.78947,14473.68421,,,,,
HI,2575.389948,4686.308492,956.6724437,,,,,
HI,22014.81481,40081.48148,8185.185185,,,,,
HI,10546.09929,19241.13475,3921.985816,,,,,
HI,4851.549755,8911.908646,1835.236542,,,,,
HI,3928.665786,7298.546896,1486.129458,,,,,
HI,3757.575758,7021.464646,1424.242424,,,,,
HI,12565.40084,23493.67089,4763.71308,,,,,
HI,1455.769231,2705.288462,543.75,,,,,
HI,3403.351955,6299.441341,1289.385475,,,,,
HI,13908.6758,25767.12329,5269.406393,,,,,
HI,1891.975309,3490.123457,741.9753086,,,,,
HI,24325.39683,44968.25397,9539.68254,,,,,
